playlist_id,playlist_owner,playlist,id,name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key_confidence,mode_confidence,tempo_confidence,time_signature_confidence,end_of_fade_in,start_of_fade_out,mood
37i9dQZF1DX0vHZ8elq0UK,Spotify,Energy Booster: Pop,4btFHqumCO31GksfuBLLv3,Overpass Graffiti,0.00253,0.52,236907,0.849,0,9,0.119,-3.794,0,0.186,175.908,4,0.774,0.253,0.36,0.261,1,0.078,227.30014,Energetic
37i9dQZF1DWSf2RDTDayIx,Spotify,Happy Beats,0Q8I9WVpuNEFPiF83ZpcvU,Happy Hour,0.00324,0.625,168000,0.855,0,5,0.742,-3.184,0,0.0401,120.004,4,0.303,0.722,0.644,0.689,0.994,0,158.36009,Happy
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,4AoQ3IvQqXjFhvtVyrGfGn,Manila Palm,0.234,0.647,273679,0.717,0.886,1,0.0853,-8.709,0,0.0351,111.01,4,0.158,0.79,0.677,0.89,0.996,0,268.6781,Chill
37i9dQZF1DX6xZZEgC9Ubl,Spotify,tear drop,5DvCLCw2DNo1W6MfsStxId,dying lately,0.328,0.711,221147,0.497,0,4,0.341,-10.128,1,0.0382,140.018,4,0.861,0.484,0.526,0.579,1,1.03896,212.9444,Sad
37i9dQZF1DWW2hj3ZtMbuO,Spotify,sad girl starter pack,7svpAkwc6xaSxlbZ7V7JiS,i was all over her,0.788,0.529,161463,0.353,0.853,7,0.116,-12.835,1,0.0292,104.557,4,0.0601,0.782,0.625,0.208,0.75,0,161.46286,Sad
37i9dQZF1DWX83CujKHHOn,Spotify,Alone Again,3SZLtkoHoECHHuOnNkNCuS,All of the Stars,0.0102,0.436,234987,0.562,0.000278,11,0.198,-6.106,1,0.0278,150.066,4,0.24,0.772,0.701,0.218,0.912,0.33673,224.82141,Sad
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,1FxZblJPTjTl7SWSOwdmBk,Places,0.0126,0.796,185586,0.675,0.181,1,0.0779,-8.066,1,0.0397,120.032,4,0.114,0.045,0.294,0.757,1,0,175.20036,Chill
37i9dQZF1DX0vHZ8elq0UK,Spotify,Energy Booster: Pop,6SKwQghsR8AISlxhcwyA9R,Marry You,0.332,0.62,230120,0.832,0,10,0.104,-4.848,1,0.036,144.926,4,0.481,0.241,0.349,0.583,0.829,0.10821,224.2409,Energetic
37i9dQZF1DX6VdMW310YC7,Spotify,Chill Tracks,2n8jUVKiJW4GGhgCWsAka5,The Fool,0.0758,0.62,210258,0.804,0.668,11,0.112,-8.847,1,0.0408,121.01,4,0.0351,0.869,0.609,0.348,0.988,0,205.40372,Chill
37i9dQZF1DWSf2RDTDayIx,Spotify,Happy Beats,3pBv3LfvfPft2TqHleqKHo,Call On Me (feat. Georgia Ku),0.171,0.662,192000,0.794,0,6,0.0883,-4.239,1,0.0533,104.951,4,0.641,0.659,0.628,0.5,1,0,186.84517,Happy
